date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:41	3674/3674	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Jun%202025%2014:10:41%20GMT	https://star-able-balmoral.glitch.me/robots.txt		(from )
17:10:42	1446/1446	---M--	200	added ('OK')	text/html	etag:%2210ee409bf2dc0a76ca1fbb53c5b8afce%22	https://star-able-balmoral.glitch.me/	star-able-balmoral.glitch.me/index.html	(from )
17:10:42	3169/3169	---M--	200	added ('OK')	text/html	etag:%22d77d8d904a32394c96d8de87e0e9d6c8%22	https://aleksander-ojamets.glitch.me/	aleksander-ojamets.glitch.me/index.html	(from )
17:10:42	2686/2686	---M--	200	added ('OK')	text/html	etag:%2216ef2e5f811c5ccacae081ccf264765e%22	https://marketing-website-iryna.glitch.me/	marketing-website-iryna.glitch.me/index.html	(from )
17:10:42	2402/2402	---M--	200	added ('OK')	text/css	etag:%226723952c927f80b7d40ddc8f25667ef9%22	https://star-able-balmoral.glitch.me/styles.css	star-able-balmoral.glitch.me/styles.css	(from https://star-able-balmoral.glitch.me/)
17:10:43	13062/13062	---M--	200	added ('OK')	text/html	etag:%227120b251b03a6d9357dc2b2e186f47ff%22	https://placeholder-final-web.glitch.me/	placeholder-final-web.glitch.me/index.html	(from )
17:10:43	4881/4881	---M--	200	added ('OK')	text/html	etag:%22634043502db9f6a0ce560c03b9552adc%22	https://spectacled-tourmaline-sea.glitch.me/	spectacled-tourmaline-sea.glitch.me/index.html	(from )
17:10:43	3741/3741	---M--	200	added ('OK')	text/html	etag:%229ff115d371539db78342ff4f9c5945fa%22	https://caseys-art-portfolio.glitch.me/	caseys-art-portfolio.glitch.me/index.html	(from )
17:10:44	1738/1738	---M--	200	added ('OK')	text/html	etag:%22bb7d69aa7bccb1d6303c83d064c80426%22	https://flannel-tabby-hexagon.glitch.me/	flannel-tabby-hexagon.glitch.me/index.html	(from )
17:10:44	1446/1446	---M--	200	added ('OK')	text/html	etag:%2210ee409bf2dc0a76ca1fbb53c5b8afce%22	https://star-able-balmoral.glitch.me/index.html	star-able-balmoral.glitch.me/index-2.html	(from https://star-able-balmoral.glitch.me/)
17:10:45	8069/8069	---M--	200	added ('OK')	text/html	etag:%226491af851ae96cb1766cd1d0a4d21083%22	https://explorekyivolha.glitch.me/	explorekyivolha.glitch.me/index.html	(from )
17:10:45	17281/17281	---M--	200	added ('OK')	text/html	etag:%22f2d284f070bd2c640dab22e10cba88fa%22	https://blind-mind-project.glitch.me/	blind-mind-project.glitch.me/index.html	(from )
17:10:46	2864/2864	---M--	200	added ('OK')	text/html	etag:%22b18178e06e5dd020e4932b2243022481%22	https://goodvibezrunningcamp.glitch.me/	goodvibezrunningcamp.glitch.me/index.html	(from )
17:10:46	31799/31799	---M--	200	added ('OK')	text/html	etag:%22897d870a69261e03b07c5ba356f196b8%22	https://nebula-wholesale-pruner.glitch.me/	nebula-wholesale-pruner.glitch.me/index.html	(from )
17:10:46	3218/3218	---M--	200	added ('OK')	text/html	etag:%224ccb19045562ff32af58e9d06225210e%22	https://star-able-balmoral.glitch.me/menu.html	star-able-balmoral.glitch.me/menu.html	(from https://star-able-balmoral.glitch.me/)
17:10:47	1362/1362	---M--	200	added ('OK')	text/html	etag:%22366e262da441e307931a65fbd1d46c33%22	https://ossukee-portfolio.glitch.me/	ossukee-portfolio.glitch.me/index.html	(from )
17:10:47	2908/2908	---M--	200	added ('OK')	text/html	etag:%22f73a1328c33168cf03490f084422c90b%22	https://andriis-blog-updated.glitch.me/	andriis-blog-updated.glitch.me/index.html	(from )
17:10:47	3343/3343	---M--	200	added ('OK')	text/html	etag:%2225daf711d2bd67c2f59da46ba19c575a%22	https://pianist-for-hire.glitch.me/	pianist-for-hire.glitch.me/index.html	(from )
17:10:48	1702/1702	---M--	200	added ('OK')	text/html	etag:%22905498e405d619130abfb264aa993351%22	https://star-able-balmoral.glitch.me/about.html	star-able-balmoral.glitch.me/about.html	(from https://star-able-balmoral.glitch.me/)
17:10:49	2512/2512	---M--	200	added ('OK')	text/html	etag:%22a56cad6d65c70e0681409c26c13aebee%22	https://carbonated-super-maraca.glitch.me/	carbonated-super-maraca.glitch.me/index.html	(from )
17:10:49	2817/2817	---M--	200	added ('OK')	text/html	etag:%22c66cf28a675291f6b16b0beb5e799519%22	https://salt-ninth-femur.glitch.me/	salt-ninth-femur.glitch.me/index.html	(from )
17:10:49	9635/9635	---M--	200	added ('OK')	text/html	etag:%224cf88ba2415d2e3e12612d361a7f4ac4%22	https://toohottohandle.glitch.me/	toohottohandle.glitch.me/index.html	(from )
17:10:49	1201/1201	---M--	200	added ('OK')	application/javascript	etag:%229f4d5b804962fa186cef89acd51ab60f%22	https://star-able-balmoral.glitch.me/script.js	star-able-balmoral.glitch.me/script.js	(from https://star-able-balmoral.glitch.me/)
17:10:50	46/46	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Jun%202025%2014:10:50%20GMT	https://aleksander-ojamets.glitch.me/robots.txt		(from )
17:10:51	5330/5330	---M--	200	added ('OK')	text/css	etag:%22d902a19e4b5768f77e0edbbbe8912d03%22	https://aleksander-ojamets.glitch.me/public/style.css	aleksander-ojamets.glitch.me/public/style.css	(from https://aleksander-ojamets.glitch.me/)
17:10:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Jun%202025%2012:55:09%20GMT	https://cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515%2Fhello-eleventy-social.png?v=1616712747908	cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515/hello-eleventy-social.60540.delayed	(from https://aleksander-ojamets.glitch.me/)
17:10:53	0/-1	---M--	301	error ('')			https://cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515%2Fhello-eleventy-social.png?v=1616712747908	cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515/hello-eleventy-social.70540.delayed	(from https://aleksander-ojamets.glitch.me/)
